title,link,price
"Redmi Note 9 Pro (Champagne Gold, 128 GB)",https://www.flipkart.com/redmi-note-9-pro-champagne-gold-128-gb/p/itm812ce2c5ee97d?pid=MOBFVN5JQRXMWYSZ&lid=LSTMOBFVN5JQRXMWYSZ1CM6YM&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_12&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ccc4316e-b118-444c-867e-b431210e14dd.MOBFVN5JQRXMWYSZ.SEARCH&ppt=None&ppn=None&ssid=gjrz6cm2u80000001621490114786,"₹18,698"
"Redmi 8 (Emerald Green, 64 GB)",https://www.flipkart.com/redmi-8-emerald-green-64-gb/p/itme0903bcb8a2cb?pid=MOBFKPYDTSZ8SFHH&lid=LSTMOBFKPYDTSZ8SFHHZ85HMV&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_13&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ccc4316e-b118-444c-867e-b431210e14dd.MOBFKPYDTSZ8SFHH.SEARCH&ppt=None&ppn=None&ssid=gjrz6cm2u80000001621490114786,"₹10,779"
"Redmi 8A Dual (Midnight Grey, 32 GB)",https://www.flipkart.com/redmi-8a-dual-midnight-grey-32-gb/p/itm5e12ea6eb7b66?pid=MOBFP7YHGWCPXUDH&lid=LSTMOBFP7YHGWCPXUDHDZBRBX&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_14&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ccc4316e-b118-444c-867e-b431210e14dd.MOBFP7YHGWCPXUDH.SEARCH&ppt=None&ppn=None&ssid=gjrz6cm2u80000001621490114786,"₹7,998"
"Mi 10i (Atlantic Blue, 128 GB)",https://www.flipkart.com/mi-10i-atlantic-blue-128-gb/p/itmbccde1394b3d4?pid=MOBFZ4RZJMFPQDXH&lid=LSTMOBFZ4RZJMFPQDXHAZM2JB&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_15&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ccc4316e-b118-444c-867e-b431210e14dd.MOBFZ4RZJMFPQDXH.SEARCH&ppt=None&ppn=None&ssid=gjrz6cm2u80000001621490114786,"₹22,323"
"Mi 10i (Midnight Black, 128 GB)",https://www.flipkart.com/mi-10i-midnight-black-128-gb/p/itm2b6df2869328a?pid=MOBFZ4RUZH3GPEGE&lid=LSTMOBFZ4RUZH3GPEGETQF1GW&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_16&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ccc4316e-b118-444c-867e-b431210e14dd.MOBFZ4RUZH3GPEGE.SEARCH&ppt=None&ppn=None&ssid=gjrz6cm2u80000001621490114786,"₹22,788"
"Redmi 9A (Sea Blue, 32 GB)",https://www.flipkart.com/redmi-9a-sea-blue-32-gb/p/itmeabd39a0cd669?pid=MOBFVDAYEWNQNKHH&lid=LSTMOBFVDAYEWNQNKHHQQKC3T&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_17&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ccc4316e-b118-444c-867e-b431210e14dd.MOBFVDAYEWNQNKHH.SEARCH&ppt=None&ppn=None&ssid=gjrz6cm2u80000001621490114786,"₹7,789"
"Redmi Note 9 Pro (Interstellar Black, 128 GB)",https://www.flipkart.com/redmi-note-9-pro-interstellar-black-128-gb/p/itm0418537d115ba?pid=MOBFUZYNSYP64TQK&lid=LSTMOBFUZYNSYP64TQKZ667DY&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_18&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ccc4316e-b118-444c-867e-b431210e14dd.MOBFUZYNSYP64TQK.SEARCH&ppt=None&ppn=None&ssid=gjrz6cm2u80000001621490114786,"₹14,699"
"Redmi 8A (Midnight Black, 32 GB)",https://www.flipkart.com/redmi-8a-midnight-black-32-gb/p/itm70d0625d86149?pid=MOBFKF98HGWKEDCC&lid=LSTMOBFKF98HGWKEDCCTXHPYA&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_19&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ccc4316e-b118-444c-867e-b431210e14dd.MOBFKF98HGWKEDCC.SEARCH&ppt=None&ppn=None&ssid=gjrz6cm2u80000001621490114786,"₹8,299"
"Redmi Note 9 Pro (Glacier White, 128 GB)",https://www.flipkart.com/redmi-note-9-pro-glacier-white-128-gb/p/itma84d60532d415?pid=MOBFUSGFZDDJHWMG&lid=LSTMOBFUSGFZDDJHWMGF0DMZ0&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_20&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ccc4316e-b118-444c-867e-b431210e14dd.MOBFUSGFZDDJHWMG.SEARCH&ppt=None&ppn=None&ssid=gjrz6cm2u80000001621490114786,"₹15,979"
"Redmi Note 9 Pro (Champagne Gold, 128 GB)",https://www.flipkart.com/redmi-note-9-pro-champagne-gold-128-gb/p/itma84d60532d415?pid=MOBFVNYYZZ6AJT44&lid=LSTMOBFVNYYZZ6AJT44JLG2CN&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_21&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ccc4316e-b118-444c-867e-b431210e14dd.MOBFVNYYZZ6AJT44.SEARCH&ppt=None&ppn=None&ssid=gjrz6cm2u80000001621490114786,"₹14,690"
